Race,PartName,Slot,Variant,Tier,Hand,PrimaryBone,SizeWxHxD_cm,MeshyPrompt,NegativePrompt
Dwarf,DWF_Units_Head_N,Head,N,heavy/plate tier,,Bip001 Head001,13×18×25 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven helmet/head piece. heavy/plate tier variant N. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 13 cm wide × 18 cm tall × 25 cm deep. Placement: attaches to the Bip001 Head001 bone (rests on the skull, fits over hair). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Units_Arms_A,Arms,A,light/cloth tier,,Bip001 R Forearm001,56×11×15 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven arm guards / bracers / sleeves. light/cloth tier variant A. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 56 cm wide × 11 cm tall × 15 cm deep. Placement: attaches to the Bip001 R Forearm001 bone (wrist to elbow on both arms). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Units_Legs_A,Legs,A,light/cloth tier,,Bip001 R Foot001,20×16×11 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven greaves / leg armor / leggings. light/cloth tier variant A. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 20 cm wide × 16 cm tall × 11 cm deep. Placement: attaches to the Bip001 R Foot001 bone (hip to ankle). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Units_Legs_B,Legs,B,light/cloth tier,,Bip001 R Foot001,20×16×11 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven greaves / leg armor / leggings. light/cloth tier variant B. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 20 cm wide × 16 cm tall × 11 cm deep. Placement: attaches to the Bip001 R Foot001 bone (hip to ankle). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Units_Arms_B,Arms,B,light/cloth tier,,Bip001 R Forearm001,56×11×15 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven arm guards / bracers / sleeves. light/cloth tier variant B. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 56 cm wide × 11 cm tall × 15 cm deep. Placement: attaches to the Bip001 R Forearm001 bone (wrist to elbow on both arms). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Units_Legs_C,Legs,C,medium/leather tier,,Bip001 R Foot001,20×16×11 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven greaves / leg armor / leggings. medium/leather tier variant C. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 20 cm wide × 16 cm tall × 11 cm deep. Placement: attaches to the Bip001 R Foot001 bone (hip to ankle). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Units_Arms_C,Arms,C,medium/leather tier,,Bip001 R Forearm001,56×11×15 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven arm guards / bracers / sleeves. medium/leather tier variant C. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 56 cm wide × 11 cm tall × 15 cm deep. Placement: attaches to the Bip001 R Forearm001 bone (wrist to elbow on both arms). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Units_Head_B,Head,B,light/cloth tier,,Bip001 Head001,13×16×25 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven helmet/head piece. light/cloth tier variant B. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 13 cm wide × 16 cm tall × 25 cm deep. Placement: attaches to the Bip001 Head001 bone (rests on the skull, fits over hair). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Units_Head_C,Head,C,medium/leather tier,,Bip001 Head001,15×16×27 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven helmet/head piece. medium/leather tier variant C. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 15 cm wide × 16 cm tall × 27 cm deep. Placement: attaches to the Bip001 Head001 bone (rests on the skull, fits over hair). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Units_Head_D,Head,D,medium/leather tier,,Bip001 Head001,13×17×25 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven helmet/head piece. medium/leather tier variant D. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 13 cm wide × 17 cm tall × 25 cm deep. Placement: attaches to the Bip001 Head001 bone (rests on the skull, fits over hair). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Units_Head_E,Head,E,medium/leather tier,,Bip001 Head001,13×16×26 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven helmet/head piece. medium/leather tier variant E. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 13 cm wide × 16 cm tall × 26 cm deep. Placement: attaches to the Bip001 Head001 bone (rests on the skull, fits over hair). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Units_Head_F,Head,F,heavy/plate tier,,Bip001 Head001,17×16×27 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven helmet/head piece. heavy/plate tier variant F. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 17 cm wide × 16 cm tall × 27 cm deep. Placement: attaches to the Bip001 Head001 bone (rests on the skull, fits over hair). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Units_Head_G,Head,G,heavy/plate tier,,Bip001 Head001,13×17×25 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven helmet/head piece. heavy/plate tier variant G. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 13 cm wide × 17 cm tall × 25 cm deep. Placement: attaches to the Bip001 Head001 bone (rests on the skull, fits over hair). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Units_Head_H,Head,H,heavy/plate tier,,Bip001 Head001,17×17×30 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven helmet/head piece. heavy/plate tier variant H. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 17 cm wide × 17 cm tall × 30 cm deep. Placement: attaches to the Bip001 Head001 bone (rests on the skull, fits over hair). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Units_Head_I,Head,I,heavy/plate tier,,Bip001 Head001,29×17×25 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven helmet/head piece. heavy/plate tier variant I. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 29 cm wide × 17 cm tall × 25 cm deep. Placement: attaches to the Bip001 Head001 bone (rests on the skull, fits over hair). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Units_Head_J,Head,J,heavy/plate tier,,Bip001 Head001,13×18×27 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven helmet/head piece. heavy/plate tier variant J. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 13 cm wide × 18 cm tall × 27 cm deep. Placement: attaches to the Bip001 Head001 bone (rests on the skull, fits over hair). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Units_Head_K,Head,K,heavy/plate tier,,Bip001 Head001,22×18×28 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven helmet/head piece. heavy/plate tier variant K. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 22 cm wide × 18 cm tall × 28 cm deep. Placement: attaches to the Bip001 Head001 bone (rests on the skull, fits over hair). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Units_Head_L,Head,L,heavy/plate tier,,Bip001 Head001,21×17×26 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven helmet/head piece. heavy/plate tier variant L. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 21 cm wide × 17 cm tall × 26 cm deep. Placement: attaches to the Bip001 Head001 bone (rests on the skull, fits over hair). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Weapon_bow,Bow,,,left,,49×4×14 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven recurve bow. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 49 cm wide × 4 cm tall × 14 cm deep. Placement: left hand grip. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Weapon_staff_B,Staff,B,light/cloth tier,right,,61×16×6 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven magic staff with crystal/orb finial. light/cloth tier variant B. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 61 cm wide × 16 cm tall × 6 cm deep. Placement: right hand, vertical. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Weapon_staff_A,Staff,A,light/cloth tier,right,,60×5×5 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven magic staff with crystal/orb finial. light/cloth tier variant A. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 60 cm wide × 5 cm tall × 5 cm deep. Placement: right hand, vertical. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Shield_B,Shield,B,light/cloth tier,left,,6×28×27 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven kite/round shield. light/cloth tier variant B. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 6 cm wide × 28 cm tall × 27 cm deep. Placement: left forearm strap. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Shield_A,Shield,A,light/cloth tier,left,,7×24×24 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven kite/round shield. light/cloth tier variant A. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 7 cm wide × 24 cm tall × 24 cm deep. Placement: left forearm strap. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Shield_C,Shield,C,medium/leather tier,left,,7×36×22 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven kite/round shield. medium/leather tier variant C. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 7 cm wide × 36 cm tall × 22 cm deep. Placement: left forearm strap. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Shield_D,Shield,D,medium/leather tier,left,,6×32×32 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven kite/round shield. medium/leather tier variant D. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 6 cm wide × 32 cm tall × 32 cm deep. Placement: left forearm strap. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Weapon_dagger,Dagger,,,right,,28×4×8 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven dagger / short blade. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 28 cm wide × 4 cm tall × 8 cm deep. Placement: right hand reverse-grip. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Weapon_spear,Spear,,,right,,62×4×8 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven long spear. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 62 cm wide × 4 cm tall × 8 cm deep. Placement: right hand grip, vertical. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Weapon_axe_B,Axe,B,light/cloth tier,right,,39×4×15 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven one-handed war axe. light/cloth tier variant B. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 39 cm wide × 4 cm tall × 15 cm deep. Placement: right hand grip. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Weapon_pick,Pick,,,right,,32×5×28 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven mining pick / pickaxe. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 32 cm wide × 5 cm tall × 28 cm deep. Placement: right hand grip. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Weapon_axe_A,Axe,A,light/cloth tier,right,,34×5×15 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven one-handed war axe. light/cloth tier variant A. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 34 cm wide × 5 cm tall × 15 cm deep. Placement: right hand grip. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Weapon_axe_C,Axe,C,medium/leather tier,right,,45×5×22 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven one-handed war axe. medium/leather tier variant C. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 45 cm wide × 5 cm tall × 22 cm deep. Placement: right hand grip. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Weapon_sword_B,Sword,B,light/cloth tier,right,,45×4×10 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven one-handed sword. light/cloth tier variant B. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 45 cm wide × 4 cm tall × 10 cm deep. Placement: right hand grip, blade pointing up. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Weapon_hammer_B,Hammer,B,light/cloth tier,right,,45×8×14 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven two-handed war hammer. light/cloth tier variant B. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 45 cm wide × 8 cm tall × 14 cm deep. Placement: right hand grip. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Weapon_hammer_A,Hammer,A,light/cloth tier,right,,29×6×11 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven two-handed war hammer. light/cloth tier variant A. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 29 cm wide × 6 cm tall × 11 cm deep. Placement: right hand grip. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Weapon_sword_A,Sword,A,light/cloth tier,right,,40×4×7 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven one-handed sword. light/cloth tier variant A. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 40 cm wide × 4 cm tall × 7 cm deep. Placement: right hand grip, blade pointing up. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Xtra_wood,Lumber,,,,,34×30×18 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven log of carry-wood. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 34 cm wide × 30 cm tall × 18 cm deep. Placement: shouldered or back-strap. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Xtra_bag,Belt Bag,,,,,21×32×24 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven belt-pouch / satchel. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 21 cm wide × 32 cm tall × 24 cm deep. Placement: hangs from waist belt. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Xtra_quiver,Quiver,,,,,10×5×32 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven arrow quiver. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 10 cm wide × 5 cm tall × 32 cm deep. Placement: strapped to back, over shoulder. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Units_Body_A,Body,A,light/cloth tier,,Bip001 Spine,37×17×34 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven chest armor (cuirass / tunic / robe top). light/cloth tier variant A. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 37 cm wide × 17 cm tall × 34 cm deep. Placement: attaches to the Bip001 Spine bone (covers shoulders down to waist). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Units_Head_A,Head,A,light/cloth tier,,Bip001 Head,13×16×23 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven helmet/head piece. light/cloth tier variant A. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 13 cm wide × 16 cm tall × 23 cm deep. Placement: attaches to the Bip001 Head bone (rests on the skull, fits over hair). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Dwarf,DWF_Units_Body_E,Body,E,medium/leather tier,,Bip001 Spine,37×20×42 cm (W×H×D),"A low-poly stylized 3D model: mountain-dwarven chest armor (cuirass / tunic / robe top). medium/leather tier variant E. Materials/feel: forged steel, riveted plate, gold filigree, hammered bronze. Color palette: gold, brushed silver, dark iron. Style: stout, ornate, runic engraving, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 37 cm wide × 20 cm tall × 42 cm deep. Placement: attaches to the Bip001 Spine bone (covers shoulders down to waist). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
